<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
AAPL,0,20160125,093153,100.720000000,100
AAPL,0,20160125,093154,100.730000000,100
AAPL,0,20160125,093154,100.730000000,100
AAPL,0,20160125,093154,100.740000000,100
AAPL,0,20160125,093155,100.750000000,100
AAPL,0,20160125,093155,100.760000000,100
AAPL,0,20160125,093155,100.750000000,100
AAPL,0,20160125,093155,100.760000000,100
AAPL,0,20160125,093155,100.760000000,100
AAPL,0,20160125,093155,100.760000000,100
AAPL,0,20160125,093156,100.750000000,100
AAPL,0,20160125,093156,100.770000000,100
AAPL,0,20160125,093157,100.770000000,100
AAPL,0,20160125,093158,100.770000000,100
AAPL,0,20160125,093158,100.770000000,100
AAPL,0,20160125,093159,100.770000000,100
AAPL,0,20160125,093159,100.770000000,100
AAPL,0,20160125,093159,100.770000000,100
AAPL,0,20160125,093159,100.770000000,100
AAPL,0,20160125,093159,100.770000000,100
AAPL,0,20160125,093159,100.770000000,100
AAPL,0,20160125,093159,100.780000000,100
AAPL,0,20160125,093200,100.790000000,100
AAPL,0,20160125,093201,100.810000000,100
AAPL,0,20160125,093201,100.800000000,100
AAPL,0,20160125,093201,100.790000000,100
AAPL,0,20160125,093202,100.790000000,100
AAPL,0,20160125,093202,100.780000000,128
AAPL,0,20160125,093205,100.770000000,100
AAPL,0,20160125,093205,100.770000000,100
AAPL,0,20160125,093205,100.770000000,100
AAPL,0,20160125,093205,100.770000000,100
AAPL,0,20160125,093205,100.770000000,100
AAPL,0,20160125,093205,100.770000000,100
AAPL,0,20160125,093205,100.790000000,200
AAPL,0,20160125,093205,100.800000000,100
AAPL,0,20160125,093205,100.800000000,100
AAPL,0,20160125,093205,100.800000000,100
AAPL,0,20160125,093205,100.810000000,100
AAPL,0,20160125,093205,100.810000000,100
AAPL,0,20160125,093207,100.810000000,100
AAPL,0,20160125,093208,100.790000000,100
AAPL,0,20160125,093209,100.810000000,100
AAPL,0,20160125,093209,100.810000000,100
AAPL,0,20160125,093209,100.820000000,100
AAPL,0,20160125,093209,100.820000000,100
AAPL,0,20160125,093209,100.820000000,100
AAPL,0,20160125,093209,100.830000000,100
AAPL,0,20160125,093209,100.860000000,200
AAPL,0,20160125,093210,100.850000000,200
AAPL,0,20160125,093210,100.840000000,100
AAPL,0,20160125,093211,100.840000000,100
AAPL,0,20160125,093213,100.830000000,100
AAPL,0,20160125,093214,100.810000000,200
AAPL,0,20160125,093214,100.820000000,100
AAPL,0,20160125,093215,100.810000000,100
AAPL,0,20160125,093220,100.840000000,100
AAPL,0,20160125,093220,100.840000000,100
AAPL,0,20160125,093220,100.840000000,100
AAPL,0,20160125,093220,100.840000000,100
AAPL,0,20160125,093221,100.840000000,200
AAPL,0,20160125,093221,100.840000000,100
AAPL,0,20160125,093221,100.840000000,100
AAPL,0,20160125,093222,100.830000000,100
AAPL,0,20160125,093223,100.900000000,300
AAPL,0,20160125,093223,100.900000000,200
AAPL,0,20160125,093223,100.900000000,350
AAPL,0,20160125,093223,100.900000000,100
AAPL,0,20160125,093223,100.900000000,100
AAPL,0,20160125,093223,100.910000000,100
AAPL,0,20160125,093224,100.890000000,100
AAPL,0,20160125,093225,100.910000000,100
AAPL,0,20160125,093226,100.960000000,100
AAPL,0,20160125,093226,100.960000000,100
AAPL,0,20160125,093226,100.970000000,100
AAPL,0,20160125,093226,100.970000000,100
AAPL,0,20160125,093226,100.940000000,100
AAPL,0,20160125,093227,100.950000000,100
AAPL,0,20160125,093227,100.940000000,100
AAPL,0,20160125,093227,100.940000000,100
AAPL,0,20160125,093227,100.920000000,100
AAPL,0,20160125,093229,100.980000000,100
AAPL,0,20160125,093229,100.980000000,2000
AAPL,0,20160125,093229,100.980000000,1000
AAPL,0,20160125,093229,101.000000000,100
AAPL,0,20160125,093229,101.000000000,100
AAPL,0,20160125,093229,101.000000000,100
AAPL,0,20160125,093229,101.000000000,100
AAPL,0,20160125,093229,100.990000000,100
AAPL,0,20160125,093229,100.970000000,100
AAPL,0,20160125,093229,101.000000000,100
AAPL,0,20160125,093230,101.000000000,100
AAPL,0,20160125,093230,101.000000000,100
AAPL,0,20160125,093230,101.010000000,100
AAPL,0,20160125,093230,101.010000000,100
AAPL,0,20160125,093230,101.010000000,100
AAPL,0,20160125,093231,101.000000000,100
AAPL,0,20160125,093231,101.000000000,100
AAPL,0,20160125,093231,100.990000000,200
AAPL,0,20160125,093231,100.970000000,200
AAPL,0,20160125,093232,100.980000000,100
AAPL,0,20160125,093232,100.980000000,100
AAPL,0,20160125,093232,100.960000000,100
AAPL,0,20160125,093233,100.950000000,900
AAPL,0,20160125,093233,100.950000000,100
AAPL,0,20160125,093233,100.940000000,149
AAPL,0,20160125,093233,100.940000000,149
AAPL,0,20160125,093233,100.940000000,149
AAPL,0,20160125,093233,100.940000000,100
AAPL,0,20160125,093233,100.940000000,100
AAPL,0,20160125,093233,100.950000000,151
AAPL,0,20160125,093234,100.960000000,100
AAPL,0,20160125,093234,100.970000000,100
AAPL,0,20160125,093234,100.970000000,100
AAPL,0,20160125,093234,100.970000000,100
AAPL,0,20160125,093235,100.940000000,100
AAPL,0,20160125,093237,100.950000000,100
AAPL,0,20160125,093237,100.950000000,100
AAPL,0,20160125,093238,100.930000000,1000
AAPL,0,20160125,093238,100.930000000,100
AAPL,0,20160125,093238,100.900000000,100
AAPL,0,20160125,093238,100.890000000,100
AAPL,0,20160125,093240,100.890000000,100
AAPL,0,20160125,093240,100.890000000,100
AAPL,0,20160125,093240,100.910000000,100
AAPL,0,20160125,093242,100.890000000,100
AAPL,0,20160125,093243,100.880000000,100
AAPL,0,20160125,093243,100.860000000,100
AAPL,0,20160125,093243,100.860000000,200
AAPL,0,20160125,093244,100.870000000,100
AAPL,0,20160125,093244,100.870000000,100
AAPL,0,20160125,093245,100.880000000,100
AAPL,0,20160125,093245,100.900000000,100
AAPL,0,20160125,093245,100.900000000,200
AAPL,0,20160125,093245,100.900000000,200
AAPL,0,20160125,093245,100.910000000,100
AAPL,0,20160125,093247,100.910000000,100
AAPL,0,20160125,093248,100.910000000,100
AAPL,0,20160125,093248,100.910000000,100
AAPL,0,20160125,093248,100.910000000,100
AAPL,0,20160125,093248,100.910000000,100
AAPL,0,20160125,093248,100.910000000,100
AAPL,0,20160125,093248,100.880000000,100
AAPL,0,20160125,093248,100.880000000,100
AAPL,0,20160125,093248,100.880000000,100
AAPL,0,20160125,093249,100.860000000,100
AAPL,0,20160125,093249,100.860000000,100
AAPL,0,20160125,093250,100.860000000,100
AAPL,0,20160125,093250,100.860000000,100
AAPL,0,20160125,093250,100.900000000,100
AAPL,0,20160125,093251,100.880000000,100
AAPL,0,20160125,093251,100.890000000,200
AAPL,0,20160125,093251,100.870000000,100
AAPL,0,20160125,093251,100.870000000,100
AAPL,0,20160125,093251,100.870000000,100
AAPL,0,20160125,093253,100.900000000,100
AAPL,0,20160125,093253,100.900000000,100
AAPL,0,20160125,093254,100.910000000,100
AAPL,0,20160125,093254,100.900000000,100
AAPL,0,20160125,093254,100.900000000,100
AAPL,0,20160125,093256,100.920000000,100
AAPL,0,20160125,093256,100.920000000,100
AAPL,0,20160125,093256,100.930000000,100
AAPL,0,20160125,093257,100.930000000,100
AAPL,0,20160125,093257,100.920000000,100
AAPL,0,20160125,093257,100.920000000,100
AAPL,0,20160125,093257,100.920000000,100
AAPL,0,20160125,093257,100.920000000,400
AAPL,0,20160125,093259,100.910000000,100
AAPL,0,20160125,093259,100.910000000,100
AAPL,0,20160125,093259,100.910000000,100
AAPL,0,20160125,093259,100.910000000,100
AAPL,0,20160125,093259,100.910000000,100
AAPL,0,20160125,093259,100.910000000,200
AAPL,0,20160125,093259,100.910000000,100
AAPL,0,20160125,093259,100.900000000,100
AAPL,0,20160125,093301,100.910000000,100
AAPL,0,20160125,093301,100.900000000,100
AAPL,0,20160125,093302,100.910000000,400
AAPL,0,20160125,093303,100.900000000,100
AAPL,0,20160125,093303,100.910000000,100
AAPL,0,20160125,093303,100.910000000,100
AAPL,0,20160125,093303,100.910000000,100
AAPL,0,20160125,093303,100.900000000,100
AAPL,0,20160125,093303,100.890000000,300
AAPL,0,20160125,093303,100.890000000,100
AAPL,0,20160125,093304,100.890000000,100
AAPL,0,20160125,093304,100.890000000,140
AAPL,0,20160125,093304,100.900000000,100
AAPL,0,20160125,093305,100.900000000,100
AAPL,0,20160125,093305,100.910000000,100
AAPL,0,20160125,093305,100.900000000,200
AAPL,0,20160125,093305,100.900000000,100
AAPL,0,20160125,093305,100.890000000,100
AAPL,0,20160125,093306,100.890000000,100
AAPL,0,20160125,093306,100.880000000,100
AAPL,0,20160125,093308,100.900000000,200
AAPL,0,20160125,093309,100.880000000,100
AAPL,0,20160125,093309,100.880000000,200
AAPL,0,20160125,093311,100.870000000,100
AAPL,0,20160125,093315,100.850000000,100
AAPL,0,20160125,093316,100.860000000,100
AAPL,0,20160125,093317,100.890000000,100
AAPL,0,20160125,093318,100.890000000,100
AAPL,0,20160125,093318,100.880000000,400
AAPL,0,20160125,093318,100.870000000,100
AAPL,0,20160125,093318,100.870000000,100
AAPL,0,20160125,093320,100.860000000,100
AAPL,0,20160125,093322,100.860000000,100
AAPL,0,20160125,093322,100.890000000,100
AAPL,0,20160125,093323,100.900000000,100
AAPL,0,20160125,093323,100.900000000,100
AAPL,0,20160125,093323,100.900000000,100
AAPL,0,20160125,093326,100.900000000,100
AAPL,0,20160125,093328,100.900000000,100
AAPL,0,20160125,093328,100.900000000,100
AAPL,0,20160125,093328,100.900000000,100
AAPL,0,20160125,093328,100.900000000,100
AAPL,0,20160125,093330,100.910000000,100
AAPL,0,20160125,093331,100.910000000,100
AAPL,0,20160125,093333,100.920000000,100
AAPL,0,20160125,093333,100.910000000,100
AAPL,0,20160125,093334,100.910000000,100
AAPL,0,20160125,093334,100.910000000,100
AAPL,0,20160125,093335,100.930000000,100
AAPL,0,20160125,093336,100.920000000,200
AAPL,0,20160125,093337,100.940000000,100
AAPL,0,20160125,093337,100.940000000,100
AAPL,0,20160125,093337,100.940000000,100
AAPL,0,20160125,093337,100.940000000,100
AAPL,0,20160125,093337,100.940000000,100
AAPL,0,20160125,093337,100.940000000,100
AAPL,0,20160125,093337,100.950000000,100
