<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,20
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,131.000000000,10
GAZP,0,20160126,100001,130.940000000,10
GAZP,0,20160126,100001,130.940000000,190
GAZP,0,20160126,100001,130.930000000,140
GAZP,0,20160126,100001,130.920000000,10
GAZP,0,20160126,100001,130.920000000,140
GAZP,0,20160126,100001,130.910000000,500
GAZP,0,20160126,100001,130.900000000,10
GAZP,0,20160126,100001,130.870000000,80
GAZP,0,20160126,100001,130.860000000,10
GAZP,0,20160126,100001,130.850000000,10
GAZP,0,20160126,100001,130.840000000,5000
GAZP,0,20160126,100001,130.820000000,10
GAZP,0,20160126,100001,130.820000000,100
GAZP,0,20160126,100001,130.820000000,80
GAZP,0,20160126,100001,130.800000000,160
GAZP,0,20160126,100001,130.800000000,2000
GAZP,0,20160126,100001,130.800000000,300
GAZP,0,20160126,100001,130.770000000,80
GAZP,0,20160126,100001,130.770000000,50
GAZP,0,20160126,100001,130.750000000,100
GAZP,0,20160126,100001,130.740000000,500
GAZP,0,20160126,100001,130.740000000,120
GAZP,0,20160126,100001,130.730000000,10
GAZP,0,20160126,100001,130.730000000,3820
GAZP,0,20160126,100001,130.720000000,80
GAZP,0,20160126,100001,130.720000000,10
GAZP,0,20160126,100001,130.720000000,10
GAZP,0,20160126,100001,130.720000000,5980
GAZP,0,20160126,100001,130.710000000,10
GAZP,0,20160126,100001,130.700000000,20
GAZP,0,20160126,100001,130.700000000,10
GAZP,0,20160126,100001,130.700000000,20
GAZP,0,20160126,100001,130.700000000,200
GAZP,0,20160126,100001,130.670000000,50
GAZP,0,20160126,100001,130.670000000,10
GAZP,0,20160126,100001,130.660000000,20
GAZP,0,20160126,100001,130.660000000,60
GAZP,0,20160126,100001,130.650000000,200
GAZP,0,20160126,100001,130.650000000,1300
GAZP,0,20160126,100001,130.620000000,10
GAZP,0,20160126,100001,130.620000000,50
GAZP,0,20160126,100001,130.600000000,10
GAZP,0,20160126,100001,130.600000000,530
GAZP,0,20160126,100001,130.600000000,20
GAZP,0,20160126,100001,130.600000000,160
GAZP,0,20160126,100001,130.600000000,200
GAZP,0,20160126,100001,130.590000000,10
GAZP,0,20160126,100001,130.570000000,50
GAZP,0,20160126,100001,130.570000000,200
GAZP,0,20160126,100001,130.560000000,100
GAZP,0,20160126,100001,130.550000000,800
GAZP,0,20160126,100001,130.540000000,10
GAZP,0,20160126,100001,130.530000000,2950
GAZP,0,20160126,100001,130.990000000,10
GAZP,0,20160126,100001,130.530000000,40
GAZP,0,20160126,100001,130.950000000,1200
