<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
MMM,0,20160126,095105,143.850000000,100
MMM,0,20160126,095105,143.850000000,100
MMM,0,20160126,095105,143.830000000,100
MMM,0,20160126,095105,143.810000000,100
MMM,0,20160126,095112,143.890000000,100
MMM,0,20160126,095112,143.890000000,100
MMM,0,20160126,095112,143.890000000,100
MMM,0,20160126,095120,143.740000000,117
MMM,0,20160126,095157,143.860000000,100
MMM,0,20160126,095215,144.000000000,150
MMM,0,20160126,095215,144.000000000,200
MMM,0,20160126,095215,144.000000000,410
MMM,0,20160126,095215,144.000000000,494
MMM,0,20160126,095215,144.000000000,115
MMM,0,20160126,095243,144.150000000,100
MMM,0,20160126,095243,144.140000000,100
MMM,0,20160126,095243,144.140000000,100
MMM,0,20160126,095305,144.190000000,100
MMM,0,20160126,095306,144.130000000,100
MMM,0,20160126,095306,144.130000000,100
MMM,0,20160126,095306,144.090000000,100
MMM,0,20160126,095317,144.190000000,100
MMM,0,20160126,095323,144.200000000,100
MMM,0,20160126,095325,144.200000000,100
MMM,0,20160126,095325,144.200000000,100
MMM,0,20160126,095326,144.200000000,100
MMM,0,20160126,095335,144.180000000,100
MMM,0,20160126,095335,144.170000000,100
MMM,0,20160126,095347,144.070000000,200
MMM,0,20160126,095348,144.030000000,100
MMM,0,20160126,095420,144.050000000,100
MMM,0,20160126,095428,144.200000000,100
MMM,0,20160126,095428,144.200000000,100
MMM,0,20160126,095432,144.240000000,100
MMM,0,20160126,095436,144.240000000,100
MMM,0,20160126,095439,144.270000000,100
MMM,0,20160126,095439,144.300000000,100
MMM,0,20160126,095440,144.360000000,100
MMM,0,20160126,095441,144.320000000,100
MMM,0,20160126,095441,144.320000000,100
MMM,0,20160126,095441,144.380000000,100
MMM,0,20160126,095441,144.390000000,100
MMM,0,20160126,095441,144.390000000,100
MMM,0,20160126,095443,144.380000000,100
MMM,0,20160126,095443,144.380000000,100
MMM,0,20160126,095443,144.380000000,100
MMM,0,20160126,095444,144.320000000,100
MMM,0,20160126,095447,144.270000000,100
MMM,0,20160126,095447,144.270000000,100
MMM,0,20160126,095447,144.260000000,100
MMM,0,20160126,095448,144.230000000,100
MMM,0,20160126,095448,144.230000000,100
MMM,0,20160126,095448,144.110000000,100
MMM,0,20160126,095458,144.010000000,100
MMM,0,20160126,095536,144.050000000,100
MMM,0,20160126,095536,144.060000000,100
MMM,0,20160126,095540,144.000000000,100
MMM,0,20160126,095540,144.000000000,100
MMM,0,20160126,095540,143.880000000,100
MMM,0,20160126,095540,143.830000000,100
MMM,0,20160126,095558,143.770000000,100
MMM,0,20160126,095558,143.770000000,100
MMM,0,20160126,095559,143.730000000,100
MMM,0,20160126,095608,143.530000000,200
MMM,0,20160126,095608,143.530000000,100
MMM,0,20160126,095616,143.470000000,100
MMM,0,20160126,095620,143.480000000,100
MMM,0,20160126,095620,143.480000000,100
MMM,0,20160126,095622,143.540000000,100
MMM,0,20160126,095642,143.490000000,100
MMM,0,20160126,095642,143.480000000,100
MMM,0,20160126,095642,143.480000000,100
MMM,0,20160126,095643,143.470000000,100
MMM,0,20160126,095655,143.310000000,100
MMM,0,20160126,095657,143.320000000,100
MMM,0,20160126,095737,143.530000000,100
MMM,0,20160126,095743,143.510000000,100
MMM,0,20160126,095744,143.520000000,100
MMM,0,20160126,095808,143.400000000,100
MMM,0,20160126,095813,143.450000000,100
MMM,0,20160126,095817,143.460000000,100
MMM,0,20160126,095826,143.570000000,100
MMM,0,20160126,095826,143.590000000,300
MMM,0,20160126,095837,143.570000000,100
MMM,0,20160126,095847,143.780000000,100
MMM,0,20160126,095859,143.880000000,100
MMM,0,20160126,095903,143.840000000,100
MMM,0,20160126,095903,143.830000000,100
MMM,0,20160126,095903,143.800000000,100
MMM,0,20160126,095910,143.770000000,100
MMM,0,20160126,095920,143.560000000,100
MMM,0,20160126,095920,143.590000000,100
MMM,0,20160126,100005,143.570000000,100
MMM,0,20160126,100005,143.570000000,100
MMM,0,20160126,100005,143.570000000,100
MMM,0,20160126,100005,143.580000000,100
MMM,0,20160126,100005,143.580000000,100
MMM,0,20160126,100006,143.620000000,100
MMM,0,20160126,100011,143.760000000,100
MMM,0,20160126,100011,143.790000000,100
MMM,0,20160126,100011,143.740000000,100
MMM,0,20160126,100012,143.810000000,100
MMM,0,20160126,100016,143.890000000,100
MMM,0,20160126,100024,143.930000000,100
MMM,0,20160126,100025,143.950000000,100
MMM,0,20160126,100042,144.000000000,123
MMM,0,20160126,100042,144.000000000,100
MMM,0,20160126,100042,144.000000000,100
MMM,0,20160126,100042,144.000000000,300
MMM,0,20160126,100053,143.930000000,200
MMM,0,20160126,100059,143.970000000,100
MMM,0,20160126,100059,143.970000000,100
MMM,0,20160126,100059,143.970000000,100
MMM,0,20160126,100103,143.930000000,100
MMM,0,20160126,100106,143.910000000,100
MMM,0,20160126,100106,143.900000000,100
MMM,0,20160126,100107,143.860000000,100
MMM,0,20160126,100107,143.840000000,100
MMM,0,20160126,100112,143.880000000,100
MMM,0,20160126,100136,143.780000000,100
MMM,0,20160126,100142,143.720000000,100
MMM,0,20160126,100158,143.735000000,100
MMM,0,20160126,100204,143.755000000,100
MMM,0,20160126,100207,143.780000000,100
MMM,0,20160126,100211,143.740000000,100
MMM,0,20160126,100211,143.740000000,100
MMM,0,20160126,100211,143.730000000,100
MMM,0,20160126,100211,143.710000000,100
MMM,0,20160126,100221,143.660000000,100
MMM,0,20160126,100221,143.660000000,100
MMM,0,20160126,100225,143.650000000,100
MMM,0,20160126,100227,143.560000000,100
MMM,0,20160126,100227,143.550000000,100
MMM,0,20160126,100227,143.520000000,100
MMM,0,20160126,100227,143.460000000,200
MMM,0,20160126,100240,143.500000000,100
MMM,0,20160126,100240,143.510000000,100
MMM,0,20160126,100240,143.510000000,100
MMM,0,20160126,100255,143.460000000,100
MMM,0,20160126,100255,143.460000000,100
MMM,0,20160126,100255,143.440000000,100
MMM,0,20160126,100255,143.420000000,100
MMM,0,20160126,100310,143.380000000,100
MMM,0,20160126,100310,143.380000000,100
MMM,0,20160126,100310,143.390000000,100
MMM,0,20160126,100315,143.500000000,100
MMM,0,20160126,100321,143.500000000,100
MMM,0,20160126,100321,143.500000000,100
MMM,0,20160126,100321,143.490000000,100
MMM,0,20160126,100346,143.850000000,100
MMM,0,20160126,100402,143.730000000,100
MMM,0,20160126,100403,143.720000000,100
MMM,0,20160126,100403,143.680000000,100
MMM,0,20160126,100419,143.510000000,100
MMM,0,20160126,100441,143.700000000,100
MMM,0,20160126,100444,143.660000000,100
MMM,0,20160126,100444,143.650000000,100
MMM,0,20160126,100444,143.650000000,100
MMM,0,20160126,100450,143.660000000,100
MMM,0,20160126,100506,143.610000000,100
MMM,0,20160126,100508,143.570000000,100
MMM,0,20160126,100524,143.520000000,100
MMM,0,20160126,100550,143.560000000,100
MMM,0,20160126,100551,143.640000000,200
MMM,0,20160126,100552,143.650000000,100
MMM,0,20160126,100552,143.650000000,200
MMM,0,20160126,100552,143.650000000,100
MMM,0,20160126,100552,143.650000000,100
MMM,0,20160126,100552,143.640000000,100
MMM,0,20160126,100557,143.630000000,100
MMM,0,20160126,100619,143.570000000,100
MMM,0,20160126,100633,143.630000000,100
MMM,0,20160126,100640,143.580000000,100
MMM,0,20160126,100642,143.550000000,100
MMM,0,20160126,100702,143.600000000,100
MMM,0,20160126,100702,143.630000000,100
MMM,0,20160126,100713,143.770000000,100
MMM,0,20160126,100713,143.750000000,100
MMM,0,20160126,100759,143.970000000,100
MMM,0,20160126,100802,143.970000000,100
MMM,0,20160126,100802,143.960000000,100
MMM,0,20160126,100802,143.950000000,100
MMM,0,20160126,100802,143.960000000,100
MMM,0,20160126,100803,143.930000000,100
MMM,0,20160126,100804,143.930000000,100
MMM,0,20160126,100809,143.990000000,100
MMM,0,20160126,100809,144.000000000,100
MMM,0,20160126,100810,144.020000000,196
MMM,0,20160126,100818,144.010000000,100
MMM,0,20160126,100824,144.120000000,200
MMM,0,20160126,100826,144.120000000,100
MMM,0,20160126,100828,144.190000000,100
MMM,0,20160126,100835,144.170000000,100
MMM,0,20160126,100835,144.130000000,100
MMM,0,20160126,100837,144.100000000,100
MMM,0,20160126,100849,144.045000000,100
MMM,0,20160126,100852,144.045000000,100
MMM,0,20160126,100858,144.040000000,100
MMM,0,20160126,100909,143.980000000,100
MMM,0,20160126,100911,143.930000000,100
MMM,0,20160126,100917,143.840000000,100
MMM,0,20160126,100917,143.860000000,100
MMM,0,20160126,100917,143.880000000,100
MMM,0,20160126,100933,144.000000000,100
MMM,0,20160126,100939,143.970000000,100
MMM,0,20160126,100939,143.990000000,100
MMM,0,20160126,100950,143.970000000,100
MMM,0,20160126,100955,143.840000000,100
MMM,0,20160126,100955,143.820000000,100
MMM,0,20160126,100955,143.780000000,100
MMM,0,20160126,100955,143.780000000,100
MMM,0,20160126,100955,143.710000000,100
MMM,0,20160126,100955,143.750000000,100
MMM,0,20160126,100955,143.760000000,100
MMM,0,20160126,100955,143.700000000,100
MMM,0,20160126,100955,143.730000000,100
MMM,0,20160126,100958,143.770000000,100
MMM,0,20160126,100958,143.770000000,100
MMM,0,20160126,101029,143.960000000,100
MMM,0,20160126,101033,144.030000000,100
MMM,0,20160126,101033,144.030000000,100
MMM,0,20160126,101038,144.070000000,100
MMM,0,20160126,101039,144.030000000,100
MMM,0,20160126,101041,144.000000000,100
